# JMH version: 1.37
# VM version: JDK 17.0.12, Java HotSpot(TM) 64-Bit Server VM, 17.0.12+8-LTS-286
# VM invoker: C:\Program Files\Java\jdk-17\bin\java.exe
# VM options: -ea -Dfile.encoding=UTF-8 -XX:+ShowCodeDetailsInExceptionMessages
# Blackhole mode: compiler (auto-detected, use -Djmh.blackhole.autoDetect=false to disable)
# Warmup: 15 iterations, 1 s each
# Measurement: 40 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: benchmark.PasswordUtilityBenchmark.testHashPassword
# Parameters: (passwordToTest = 123456)

# Run progress: 0,00% complete, ETA 00:03:40
# Fork: 1 of 2
# Warmup Iteration   1: 221,074 ns/op
# Warmup Iteration   2: 191,853 ns/op
# Warmup Iteration   3: 189,566 ns/op
# Warmup Iteration   4: 189,657 ns/op
# Warmup Iteration   5: 190,378 ns/op
# Warmup Iteration   6: 189,150 ns/op
# Warmup Iteration   7: 190,063 ns/op
# Warmup Iteration   8: 189,418 ns/op
# Warmup Iteration   9: 189,795 ns/op
# Warmup Iteration  10: 189,493 ns/op
# Warmup Iteration  11: 189,487 ns/op
# Warmup Iteration  12: 189,453 ns/op
# Warmup Iteration  13: 189,195 ns/op
# Warmup Iteration  14: 188,980 ns/op
# Warmup Iteration  15: 189,781 ns/op
Iteration   1: 189,620 ns/op
Iteration   2: 189,839 ns/op
Iteration   3: 189,648 ns/op
Iteration   4: 190,052 ns/op
Iteration   5: 189,583 ns/op
Iteration   6: 189,999 ns/op
Iteration   7: 189,868 ns/op
Iteration   8: 191,084 ns/op
Iteration   9: 190,251 ns/op
Iteration  10: 190,127 ns/op
Iteration  11: 189,679 ns/op
Iteration  12: 189,554 ns/op
Iteration  13: 190,178 ns/op
Iteration  14: 190,135 ns/op
Iteration  15: 189,968 ns/op
Iteration  16: 189,563 ns/op
Iteration  17: 190,339 ns/op
Iteration  18: 190,518 ns/op
Iteration  19: 189,336 ns/op
Iteration  20: 190,053 ns/op
Iteration  21: 189,461 ns/op
Iteration  22: 189,111 ns/op
Iteration  23: 189,704 ns/op
Iteration  24: 189,649 ns/op
Iteration  25: 189,452 ns/op
Iteration  26: 189,371 ns/op
Iteration  27: 190,326 ns/op
Iteration  28: 189,313 ns/op
Iteration  29: 190,199 ns/op
Iteration  30: 189,413 ns/op
Iteration  31: 190,153 ns/op
Iteration  32: 189,684 ns/op
Iteration  33: 190,357 ns/op
Iteration  34: 189,874 ns/op
Iteration  35: 190,554 ns/op
Iteration  36: 189,649 ns/op
Iteration  37: 189,860 ns/op
Iteration  38: 189,838 ns/op
Iteration  39: 189,902 ns/op
Iteration  40: 190,710 ns/op

# Run progress: 22,71% complete, ETA 00:02:47
# Fork: 2 of 2
# Warmup Iteration   1: 223,998 ns/op
# Warmup Iteration   2: 192,913 ns/op
# Warmup Iteration   3: 190,638 ns/op
# Warmup Iteration   4: 191,824 ns/op
# Warmup Iteration   5: 191,160 ns/op
